type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,jfk,kjfk,,27.0,2021-12-09t16:00:00.000,2021-12-09t16:40:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,tlv,llbg,3,,2021-12-10t09:20:00.000,2021-12-10t09:00:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,aerolineas argentinas,ar,arg,7852,ar7852,arg7852,4,el al,ly,ely,2,ly2,ely2,,
arrival,landed,jfk,kjfk,,27.0,2021-12-09t16:00:00.000,2021-12-09t16:40:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,2021-12-09t16:27:00.000,tlv,llbg,3,,2021-12-10t09:20:00.000,2021-12-10t09:00:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,2021-12-10t09:02:00.000,el al,ly,ely,2,ly2,ely2,4,,,,,,,,
arrival,landed,ewr,kewr,123,50.0,2021-12-09t16:10:00.000,2021-12-09t17:01:00.000,2021-12-09t16:59:00.000,2021-12-09t16:59:00.000,2021-12-09t16:59:00.000,tlv,llbg,3,,2021-12-10t09:20:00.000,2021-12-10t09:15:00.000,2021-12-10t09:14:00.000,2021-12-10t09:14:00.000,2021-12-10t09:14:00.000,united airlines,ua,ual,84,ua84,ual84,c,,,,,,,,b6
arrival,landed,dxb,omdb,,37.0,2021-12-10t07:40:00.000,2021-12-10t07:40:00.000,2021-12-10t08:17:00.000,2021-12-10t08:17:00.000,2021-12-10t08:17:00.000,tlv,llbg,,2.0,2021-12-10t09:30:00.000,2021-12-10t09:27:00.000,2021-12-10t09:32:00.000,2021-12-10t09:32:00.000,2021-12-10t09:32:00.000,emirates,ek,uae,2369,ek2369,uae2369,3,flydubai,fz,fdb,1549,fz1549,fdb1549,,
arrival,landed,dxb,omdb,,37.0,2021-12-10t07:40:00.000,2021-12-10t07:40:00.000,2021-12-10t08:17:00.000,2021-12-10t08:17:00.000,2021-12-10t08:17:00.000,tlv,llbg,,2.0,2021-12-10t09:30:00.000,2021-12-10t09:27:00.000,2021-12-10t09:32:00.000,2021-12-10t09:32:00.000,2021-12-10t09:32:00.000,flydubai,fz,fdb,1549,fz1549,fdb1549,3,,,,,,,,
arrival,landed,ath,lgav,a1,12.0,2021-12-10t07:50:00.000,2021-12-10t07:50:00.000,2021-12-10t08:02:00.000,2021-12-10t08:02:00.000,2021-12-10t08:02:00.000,tlv,llbg,1,,2021-12-10t09:50:00.000,2021-12-10t09:45:00.000,2021-12-10t09:42:00.000,2021-12-10t09:42:00.000,2021-12-10t09:42:00.000,ryanair,fr,ryr,2823,fr2823,ryr2823,m,,,,,,,,
arrival,landed,lgg,eblg,,1.0,2021-12-10t04:45:00.000,2021-12-10t04:40:00.000,2021-12-10t04:46:00.000,2021-12-10t04:46:00.000,2021-12-10t04:46:00.000,tlv,llbg,,,2021-12-10t09:55:00.000,2021-12-10t09:40:00.000,2021-12-10t09:37:00.000,2021-12-10t09:37:00.000,2021-12-10t09:37:00.000,el al,ly,ely,232,ly232,ely232,,,,,,,,,
arrival,scheduled,bud,lhbp,,70.0,2021-12-10t05:50:00.000,2021-12-10t06:25:00.000,2021-12-10t07:00:00.000,2021-12-10t07:00:00.000,2021-12-10t07:00:00.000,tlv,llbg,1,57.0,2021-12-10t10:05:00.000,2021-12-10t11:02:00.000,,,,wizz air,w6,wzz,2325,w62325,wzz2325,2b,,,,,,,,
arrival,unknown,etm,ller,,1.0,2021-12-10t09:05:00.000,,2021-12-10t09:06:00.000,2021-12-10t09:06:00.000,2021-12-10t09:06:00.000,tlv,llbg,1,,2021-12-10t10:05:00.000,2021-12-10t09:56:00.000,,,,israir airlines,6h,isr,442,6h442,isr442,,,,,,,,,
arrival,landed,yyz,cyyz,e70,15.0,2021-12-09t16:50:00.000,2021-12-09t17:13:00.000,2021-12-09t17:05:00.000,2021-12-09t17:05:00.000,2021-12-09t17:05:00.000,tlv,llbg,3,,2021-12-10t10:15:00.000,2021-12-10t09:47:00.000,2021-12-10t09:46:00.000,2021-12-10t09:46:00.000,2021-12-10t09:46:00.000,air canada,ac,aca,80,ac80,aca80,1,,,,,,,,
